         7399 function calls (7117 primitive calls) in 5.919 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 kernelbase.py:302(poll_control_queue)
       38    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 _response.py:128(_parse)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1356(add_cookie_header)
       36    0.000    0.000    0.000    0.000 _state.py:318(_fire_state_triggered_transitions)
        3    0.000    0.000    0.000    0.000 _client.py:125(__iter__)
        3    0.000    0.000    0.000    0.000 default.py:111(__iter__)
        2    0.000    0.000    0.000    0.000 connection_pool.py:230(_assign_requests_to_connections)
        1    0.000    0.000    0.000    0.000 _multipart.py:198(__init__)
        3    0.000    0.000    0.000    0.000 connection_pool.py:361(__iter__)
        3    0.000    0.000    0.000    0.000 http11.py:337(__iter__)
        2    0.000    0.000    0.000    0.000 request.py:315(__init__)
        3    0.000    0.000    0.000    0.000 http11.py:205(_receive_response_body)
       50    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
       31    0.000    0.000    0.000    0.000 _writers.py:63(__call__)
        1    0.000    0.000    0.000    0.000 _models.py:765(construct)
        3    0.000    0.000    0.000    0.000 _multipart.py:213(_iter_fields)
       32    0.000    0.000    0.000    0.000 _events.py:299(__init__)
        1    0.000    0.000    0.000    0.000 _base_client.py:558(_process_response_data)
       40    0.000    0.000    0.000    0.000 _models.py:210(__getitem__)
        1    0.000    0.000    0.000    0.000 _multipart.py:256(get_headers)
        6    0.000    0.000    0.000    0.000 _models.py:62(__init__)
       57    0.000    0.000    0.000    0.000 _util.py:84(validate)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1290(_cookies_for_request)
        1    0.000    0.000    0.000    0.000 _multipart.py:91(__init__)
      2/1    0.000    0.000    0.000    0.000 _models.py:418(construct_type)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1272(_cookies_for_domain)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
        1    0.000    0.000    0.000    0.000 main.py:197(model_construct)
        1    0.000    0.000    0.000    0.000 _urls.py:341(copy_with)
       37    0.000    0.000    0.000    0.000 _connection.py:330(_respond_to_state_changes)
        1    0.000    0.000    0.000    0.000 _client.py:392(_merge_cookies)
       31    0.000    0.000    0.000    0.000 typing.py:1168(__instancecheck__)
        3    0.000    0.000    0.000    0.000 _models.py:61(enforce_headers)
       13    0.000    0.000    0.000    0.000 socket.py:621(send)
        2    0.000    0.000    0.000    0.000 zmqstream.py:687(_rebuild_io_state)
        3    0.000    0.000    0.000    0.000 _urlparse.py:124(copy_with)
        1    0.000    0.000    0.000    0.000 _base_client.py:410(_build_headers)
        2    0.000    0.000    0.000    0.000 traitlets.py:739(__set__)
        1    0.000    0.000    0.000    0.000 iostream.py:118(_run_event_pipe_gc)
      4/2    0.000    0.000    0.000    0.000 selectors.py:319(select)
        2    0.000    0.000    0.000    0.000 _models.py:1202(info)
        2    0.000    0.000    0.000    0.000 traitlets.py:3603(set)
        1    0.000    0.000    0.000    0.000 _models.py:373(_prepare)
        2    0.000    0.000    0.000    0.000 connection.py:185(has_expired)
        1    0.000    0.000    0.000    0.000 http11.py:54(__init__)
        2    0.000    0.000    0.000    0.000 connection_pool.py:301(_close_connections)
        1    0.000    0.000    0.000    0.000 _base.py:537(set_result)
      4/2    0.000    0.000    0.000    0.000 selectors.py:313(_select)
        2    0.000    0.000    0.000    0.000 http11.py:281(has_expired)
       30    0.000    0.000    0.000    0.000 _writers.py:88(send_data)
        2    0.000    0.000    0.000    0.000 _models.py:373(__init__)
        1    0.000    0.000    0.000    0.000 _models.py:893(close)
       50    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
       31    0.000    0.000    0.000    0.000 typing.py:1439(__subclasscheck__)
      205    0.000    0.000    0.000    0.000 _models.py:92(encoding)
        1    0.000    0.000    0.000    0.000 decorator.py:199(fix)
        3    0.000    0.000    0.000    0.000 sync.py:171(get_extra_info)
        2    0.000    0.000    0.000    0.000 zmqstream.py:710(_update_handler)
        6    0.000    0.000    0.000    0.000 fields.py:494(get_default)
        2    0.000    0.000    0.000    0.000 _auth.py:59(sync_auth_flow)
       23    0.000    0.000    0.000    0.000 _utils.py:244(to_bytes)
    77/12    0.000    0.000    0.000    0.000 typing.py:407(<genexpr>)
        3    0.000    0.000    0.000    0.000 _models.py:1016(__init__)
      116    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 iostream.py:276(<lambda>)
        1    0.000    0.000    0.000    0.000 _client.py:129(close)
        3    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
      2/1    0.000    0.000    0.000    0.000 {method 'send' of 'generator' objects}
        2    0.000    0.000    0.000    0.000 traitlets.py:721(set)
        1    0.000    0.000    0.000    0.000 iostream.py:278(_really_send)
       48    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        6    0.000    0.000    0.000    0.000 _utils.py:301(smart_deepcopy)
        1    0.000    0.000    0.000    0.000 socket.py:698(send_multipart)
       21    0.000    0.000    0.000    0.000 _readers.py:64(_decode_header_lines)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 _base.py:337(_invoke_callbacks)
        7    0.000    0.000    0.000    0.000 __init__.py:360(__getattr__)
        1    0.000    0.000    0.000    0.000 connection.py:168(close)
       17    0.000    0.000    0.000    0.000 typing.py:371(inner)
      304    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 _client.py:403(_merge_headers)
        1    0.000    0.000    0.000    0.000 _models.py:177(construct)
        1    0.000    0.000    0.000    0.000 default.py:116(close)
        2    0.000    0.000    0.000    0.000 request.py:339(full_url)
        1    0.000    0.000    0.000    0.000 connection_pool.py:369(close)
        3    0.000    0.000    0.000    0.000 _models.py:128(keys)
        8    0.000    0.000    0.000    0.000 _trace.py:10(__init__)
      6/3    0.000    0.000    0.000    0.000 copy.py:118(deepcopy)
       92    0.000    0.000    0.000    0.000 _utils.py:31(normalize_header_key)
       60    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       78    0.000    0.000    0.000    0.000 typing.py:2263(get_origin)
        7    0.000    0.000    0.000    0.000 _models.py:168(get)
      137    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 _urlparse.py:449(quote)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        3    0.000    0.000    0.000    0.000 attrsettr.py:42(__getattr__)
        1    0.000    0.000    0.000    0.000 _events.py:137(__init__)
       13    0.000    0.000    0.000    0.000 enum.py:1528(__or__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1096(return_ok)
        1    0.000    0.000    0.000    0.000 _models.py:200(update)
      112    0.000    0.000    0.000    0.000 _models.py:27(enforce_bytes)
       37    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
        1    0.000    0.000    0.000    0.000 _multipart.py:234(get_content_length)
        2    0.000    0.000    0.000    0.000 tasks.py:643(sleep)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       13    0.000    0.000    0.000    0.000 _transform.py:111(_get_annotated_type)
        1    0.000    0.000    0.000    0.000 futures.py:394(_call_set_state)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        9    0.000    0.000    0.000    0.000 _connection.py:308(_get_io_object)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
       15    0.000    0.000    0.000    0.000 _utils.py:151(is_mapping)
        1    0.000    0.000    0.000    0.000 _models.py:448(__init__)
      6/5    0.000    0.000    0.000    0.000 _readers.py:157(__call__)
        1    0.000    0.000    0.000    0.000 inspect.py:3254(bind)
        2    0.000    0.000    0.000    0.000 request.py:297(request_host)
       28    0.000    0.000    0.000    0.000 enum.py:709(__call__)
        1    0.000    0.000    0.000    0.000 _models.py:326(__init__)
        1    0.000    0.000    0.000    0.000 _multipart.py:140(get_length)
        7    0.000    0.000    0.000    0.000 __init__.py:73(import_module)
      8/1    0.000    0.000    0.000    0.000 _utils.py:171(deepcopy_minimal)
    40/18    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
        2    0.000    0.000    0.000    0.000 _models.py:157(multi_items)
        1    0.000    0.000    0.000    0.000 _connection.py:155(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:3119(_bind)
  112/106    0.000    0.000    0.000    0.000 {built-in method builtins.len}
  114/113    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 traitlets.py:750(_validate)
        1    0.000    0.000    0.000    0.000 connection_pool.py:16(__init__)
        1    0.000    0.000    0.000    0.000 http11.py:261(close)
        1    0.000    0.000    0.000    0.000 sync.py:139(close)
        1    0.000    0.000    0.000    0.000 _utils.py:266(peek_filelike_length)
       70    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
        5    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        1    0.000    0.000    0.000    0.000 _utils.py:260(guess_content_type)
        2    0.000    0.000    0.000    0.000 _models.py:1160(__bool__)
      152    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:583(name)
        1    0.000    0.000    0.000    0.000 base_events.py:815(call_soon_threadsafe)
        1    0.000    0.000    0.000    0.000 _base_client.py:508(_serialize_multipartform)
       38    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        7    0.000    0.000    0.000    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.000    0.000 _models.py:763(json)
        2    0.000    0.000    0.000    0.000 request.py:370(_parse)
        1    0.000    0.000    0.000    0.000 socket.py:500(close)
        1    0.000    0.000    0.000    0.000 selector_events.py:141(_write_to_self)
        5    0.000    0.000    0.000    0.000 __init__.py:219(finditer)
        1    0.000    0.000    0.000    0.000 pathlib.py:569(_tail)
     10/9    0.000    0.000    0.000    0.000 _typing.py:40(strip_annotated_type)
        3    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:1306(_real_close)
       38    0.000    0.000    0.000    0.000 message.py:420(__setitem__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1369(_gcd_import)
        1    0.000    0.000    0.000    0.000 mimetypes.py:284(guess_type)
        1    0.000    0.000    0.000    0.000 iostream.py:127(_event_pipe_gc)
        3    0.000    0.000    0.000    0.000 attrsettr.py:65(_get_attr_opt)
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      126    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
        9    0.000    0.000    0.000    0.000 typing.py:443(is_typeddict)
        1    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 base_events.py:791(_call_soon)
        1    0.000    0.000    0.000    0.000 _utils.py:37(extract_files)
        1    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        1    0.000    0.000    0.000    0.000 _models.py:631(_get_content_decoder)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        2    0.000    0.000    0.000    0.000 _utils.py:7(is_socket_readable)
        1    0.000    0.000    0.000    0.000 ssl.py:504(set_alpn_protocols)
        1    0.000    0.000    0.000    0.000 _client.py:162(default_headers)
        1    0.000    0.000    0.000    0.000 mimetypes.py:103(guess_type)
        1    0.000    0.000    0.000    0.000 _synchronization.py:280(__init__)
       61    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       38    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 futures.py:311(_set_result_unless_cancelled)
       23    0.000    0.000    0.000    0.000 _typing.py:29(is_required_type)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:940(pop)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 typing_extensions.py:626(__instancecheck__)
        1    0.000    0.000    0.000    0.000 _writers.py:36(write_request)
      2/1    0.000    0.000    0.000    0.000 _utils.py:56(_extract_items)
       88    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
      6/2    2.676    0.446    0.000    0.000 {built-in method select.select}
        1    0.000    0.000    0.000    0.000 cookiejar.py:1214(path_return_ok)
        1    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        3    0.000    0.000    0.000    0.000 cookiejar.py:636(eff_request_host)
        2    0.000    0.000    0.000    0.000 typing.py:164(get_args)
     10/2    0.000    0.000    0.000    0.000 typing.py:1544(__hash__)
        1    0.000    0.000    0.000    0.000 traitlets.py:1531(_notify_trait)
       15    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
